Author(s) ID,Title,Year,Source title,Cited by,Link,Abstract,Author Keywords,Index Keywords,Sponsors,Conference name,Conference date,Conference location,Conference code,Language of Original Document,Document Type,Publication Stage,Open Access,Source
"57201721598;8520718000;57189897414;57204122687;57194222652;6602883396;8251308600;","Real-time wave excitation forces estimation: An application on the ISWEC device",2020,"Journal of Marine Science and Engineering",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85093972207&doi=10.3390%2fjmse8100825&partnerID=40&md5=27e7c6d112b7cc05224a861207fb4fa3","Optimal control strategies represent a widespread solution to increase the extracted energy of a Wave Energy Converter (WEC). The aim is to bring the WEC into resonance enhancing the produced power without compromising its reliability and durability. Most of the control algorithms proposed in literature require for the knowledge of the Wave Excitation Force (WEF) generated from the incoming wave field. In practice, WEFs are unknown, and an estimate must be used. This paper investigates the WEF estimation of a non-linear WEC. A model-based and a model-free approach are proposed. First, a Kalman Filter (KF) is implemented considering the WEC linear model and the WEF modelled as an unknown state to be estimated. Second, a feedforward Neural Network (NN) is applied to map the WEC dynamics to the WEF by training the network through a supervised learning algorithm. Both methods are tested for a wide range of irregular sea-states showing promising results in terms of estimation accuracy. Sensitivity and robustness analyses are performed to investigate the estimation error in presence of un-modelled phenomena, model errors and measurement noise. © 2020 by the authors. Licensee MDPI, Basel, Switzerland.","Estimation; Kalman Filter; Neural Network; Optimal Control; Wave Energy Converter; Wave excitation forces",,,,,,,"English",Article,"Final","All Open Access, Gold",Scopus
"57211802025;36680890100;7005101275;10240574000;7004413375;","A systematic approach for selecting suitable wave energy converters for potential wave energy farm sites",2020,"Renewable and Sustainable Energy Reviews",1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088039401&doi=10.1016%2fj.rser.2020.110011&partnerID=40&md5=bc4328e9398d4b5eb09a2442a7e77a05","The ocean covers approximately 70% of the earth's surface and contains an immense source of renewable energy, in terms of ocean waves. However, this resource is unevenly distributed throughout the world, and so, therefore, converting waves into a useful form of energy will require the identification of potential Wave Energy Farm (WEF) locations. This should be undertaken in tandem with selecting an appropriate Wave Energy Converter (WEC), as the characteristics of these devices are critical in capturing the available wave power. Therefore, this paper describes a three-stage systematic approach that was developed and implemented in order to select the most suitable WEC(s) for marine areas identified as optimal for WEFs. As this sector is evolving rapidly, the first stage identified all WECs currently in development and proposed classifying these devices in a practical and meaningful manner. The second stage developed a procedure for identifying generic WEF locations by integrating the multiple dimensions of sustainable development and the technical limitations of the sector, within a geographic information systems framework. Lastly, the third stage incorporates the results from the previous two stages. The devices considered for further analysis were reduced based on commercial viability, whilst the available power was quantified and characterised at each of the optimal WEF sites. Thereafter, appropriate techno-economic performance indicators were identified to rank and determine the optimal device for a specific location. © 2020 Elsevier Ltd","Site assessment; Site matching; Site selection; Wave energy; Wave energy converter (WEC); WEC classification","Location; Water waves; Wave power; Commercial viability; Multiple dimensions; Optimal devices; Renewable energies; Specific location; Technical limitations; Techno-economics; Wave energy converters; Wave energy conversion",,,,,,"English",Article,"Final","",Scopus
"6506112864;35091581700;","Insights on the water–energy–food nexus",2020,"Water (Switzerland)",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095994239&doi=10.3390%2fw12102882&partnerID=40&md5=daab62b09704c92012d470cb44597588","This Special Issue addresses topics on the water–energy–food (WEF) nexus along with other water-related topics, such as water resources, irrigation and drinking water supply systems, hydraulics and pollution. Several threats jeopardize freshwater availability and quality, energy and food availability. Integrated management approaches are absolutely necessary for pursuing sustainability. This Special Issue addresses various subjects and includes 29 peer-reviewed papers that have been grouped into the following categories: the WEF nexus, water resources and irrigation systems, drinking water supply systems, hydraulics and pollution. Some of them were selected from the Third Efficient Water Systems (EWaS) International Conference, entitled “Insights on the Water–Energy–Food Nexus,” after a thorough content update. Summaries of the papers are briefly presented in this Editorial. © 2020 by the authors. Licensee MDPI, Basel, Switzerland.","Drinking water; Irrigation; Pollution; Water quality; Water resources; Water–energy–food nexus",,,,,,,"English",Editorial,"Final","All Open Access, Gold",Scopus
"57219650369;57219653761;57215905682;57219652022;57219658927;57219654966;57200644101;","Economic competitiveness, from the impact of the international mobility of tertiary education [La competitividad económica, desde el impacto de la movilidad internacional de la educación terciaria]",2020,"RISTI - Revista Iberica de Sistemas e Tecnologias de Informacao",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094601449&partnerID=40&md5=65c6457d2d1bb84baf8cff1c16f1d6e4","Globalization has generated international networks that enable educational mobility and cooperation for the equitable social development of nations. In this context, this study seeks, from statistical indexes used by the World Economic Forum (WEF) and the Organization for Economic Cooperation and Development (OECD), analyze the phenomenon of international student mobility and its impact on the economic competitiveness of countries, through the application of mathematical models such as the Spearman correlation coefficient and the Lorenz Curve. In conclusion, it is evident that there is a lack of strategies to ensure true international educational equality and the need to promote international student mobility in various geographical areas, especially in Eurasia, as well as how indispensable it is to have reliable mechanisms that collect the information required to determine which areas of interest of current mobility are. © 2020, Associacao Iberica de Sistemas e Tecnologias de Informacao. All rights reserved.","Economic competitiveness; International mobility; Student mobility",,,,,,,"Spanish",Article,"Final","",Scopus
"12140307100;56072144700;57218845057;57218844468;57218845415;38060923900;","Multi-scale analysis of the water-energy-food nexus in the Gulf region",2020,"Environmental Research Letters",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090425996&doi=10.1088%2f1748-9326%2fab8a86&partnerID=40&md5=8654e229bc4adf9048e4a91538c3c9d3","We quantify the heavily oil-dominated WEF nexus in three Gulf Cooperation Council (GCC) countries (Kuwait, Qatar and Saudi Arabia) across spatial scales and over time, using available empirical data at the national level, and explore the exposure to nexus stresses (groundwater depletion) in other countries through virtual water trade. At the domestic scale, WEF trade-offs are fairly limited; while all sectors require considerable amounts of energy, the requirements for water and food production are modest compared to other uses. At the international scale, revenues from oil exports in the GCC allow the region to compensate for low food production and scarce water availability. This dependency is dynamic over time, increasing when oil prices are low and food prices are high. We show how reducing domestic trade-offs can lead to higher exposure internationally, with rice imports originating in regions where groundwater is being depleted. However, Saudi Arabia's increased wheat imports, after reversing its food self-sufficiency policy, have had limited effects on groundwater depletion elsewhere. Climate change mitigation links the WEF nexus to the global scale. While there is great uncertainty about future international climate policy, our analysis illustrates how implementation of measures to account for the social costs of carbon would reduce the oil and gas revenues available to import food and desalinate water in the GCC. © 2020 The Author(s). Published by IOP Publishing Ltd.","embedded groundwater depletion; food trade; security; social cost of carbon; WEF nexus","Climate change; Commerce; Costs; Crude oil price; Economic and social effects; Groundwater; Uncertainty analysis; Climate change mitigation; Food production; Groundwater depletion; Gulf Cooperation Council; International scale; Multi scale analysis; Virtual water trade; Water availability; Oils and fats; empirical analysis; energy; food; multicriteria analysis; water; Saudi Arabia; Triticum aestivum",,,,,,"English",Article,"Final","All Open Access, Gold, Green",Scopus
"7410049203;57216979223;57196453109;56038444300;57208837417;","Model experiment study for ventilation performance improvement of the Wind Energy Fan system by optimizing wind turbines",2020,"Sustainable Cities and Society",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085628034&doi=10.1016%2fj.scs.2020.102212&partnerID=40&md5=db01b00d168d8b0f604418263ed07e1d","The Wind Energy Fan system (WEF-System) can realize the efficient ventilation in underground engineering by utilizing wind energy to drive the axial fan with the vertical wind turbine directly. The wind turbine in WEF-System is a key equipment to catch the wind energy, its performance affects the ventilation performance of WEF-system directly. In this study, based on the characteristic analysis of vertical axis wind turbine, an experiment platform with the corresponding test system was established and the wind turbine was optimized to improve the ventilation performance of WEF-System by the type and the blade number. Experimental results showed the duct ventilation volumes for WEF-System with Lift-type wind turbine are 9.6 %∼25.3 % and 9.6 %∼15.2 % larger than those with Drag-type wind turbine under transmission ratios of 1:5.17 and 1:10, respectively. With increasing the blade number of Lift-type wind turbine, the duct ventilation volume of WEF-System reduces and WEF-System with Lift-type wind turbine of 3 blades is relatively optimal. This WEF-System is proved to an effective wind energy technology to realize the active utilization of wind energy in underground ventilation. © 2020 Elsevier Ltd","Blade number; Transmission ratio; Ventilation volume; Wind turbine","Ducts; Lift drag ratio; Ventilation; Well pumps; Wind power; Wind turbines; Characteristic analysis; Experiment platforms; Transmission ratios; Underground engineering; Underground ventilation; Ventilation performance; Vertical axis wind turbines; Wind energy technology; Turbomachine blades",,,,,,"English",Article,"Final","",Scopus
"57144148400;57216809827;7403096378;","Uncover the interdependent environmental impacts associated with the water-energy-food nexus under resource management strategies",2020,"Resources, Conservation and Recycling",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084754283&doi=10.1016%2fj.resconrec.2020.104909&partnerID=40&md5=5fad9ece3229c5acd6629181d3ff9b28","This study uses Taiwan's WEF nexus as a case study to demonstrate how the resource flow and associated environmental impact of the WEF nexus can be assessed as basis for evaluating strategies for promoting the sustainable use of natural resources. In this study, material flow analysis (MFA) and life-cycle assessment (LCA), were combined. The MFA was used to examine the interdependence of the three natural resources, and the LCA was used to evaluate the environmental impacts of the WEF system. The WEF nexus analysis shows that tap water supply, oil refining, the cogeneration of steam and electricity, thermoelectric power plants, irrigation, animal husbandry, and aquaculture are the main interwoven nodes and have the most prominent impact on the three natural resources. When the unit products from the WEF system were determined, LCA was implemented for these products to identify 15 types of environmental impacts. The environmental impacts for the WEF system were then calculated based on the use of unit products. The results of LCA showed that the most prominent impacts are the impact of public electricity on climate change; oil products on ozone depletion and ionizing radiation; tap water on metal depletion; and animal husbandry on terrestrial ecotoxicity. Based on the assessment of the alternative resource management strategies, if both water and energy policies are modified simultaneously, the impact of the overall WEF system on most environmental impact categories could be reduced. © 2020 Elsevier B.V.","Environmental impact; LCA; Material flow analysis; Resource policy adaptation; Urban metabolism; Water-energy-food nexus","Agriculture; Animals; Climate change; Cogeneration plants; Environmental management; Ionizing radiation; Life cycle; Natural resources management; Oils and fats; Ozone layer; Petroleum industry; Petroleum refining; Resource allocation; Steam power plants; Thermoelectric power plants; Water resources; Water supply; Animal husbandry; Life Cycle Assessment (LCA); Material flow analysis; Ozone depletion; Resource flows; Resource management; Sustainable use; Water and energies; Environmental impact; oil; tap water; energy resource; environmental impact; food supply; life cycle analysis; material flow analysis; resource management; sustainability; water resource; animal husbandry; aquaculture; Article; climate change; ecotoxicity; electric power plant; electricity; energy resource; environmental impact; flow measurement; ionizing radiation; irrigation (agriculture); life cycle assessment; natural resource; ozone depletion; water supply; Taiwan; Animalia",,,,,,"English",Article,"Final","",Scopus
"56720522200;57219093455;57196223454;35075336700;56176024200;","Antioxidant characteristics and hepatoprotective effects of a formula derived from Maydis stigma, Nelumbo nucifera and Taraxacum officinale against carbon tetrachloride-induced hepatic damage in rats",2020,"Pakistan Journal of Pharmaceutical Sciences",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091218303&doi=10.36721%2fPJPS.2020.33.5.REG.2131-2142.1&partnerID=40&md5=472c1eaa5574741eeae60a1182c3f328","The hepatoprotective effects of a water extract formula (WEF) derived from three selected TCM herbs (i.e. Corn silk (Maydis stigma), lotus leaf (Nelumbo nucifera Gaertn) and dandelion (Taraxacum officinale)) were apprised by the antioxidant activities and by the decay of carbon tetrachloride (CCl4)-induced rats. The results indicated that the WEF had higher contents of total phenolic and flavonoids, 1,1-diphenyl-2-picrylhydrazyl (DPPH) free radical scavenging ability, ferric reducing antioxidant potential (FRAP) and equivalent antioxidant capacity (TEAC). The animal experiments revealed that the WEF administration could lower malondialdehyded (MDA) level, serum alanine aminotransferase (ALT), aspartate amino transferase (AST) activities, resume triglyceride (TG) and decreased glutathione (GSH) levels, and reform or resume super oxide dismutase (SOD) content as well as improve peroxidase (GPx), glutathione reductase (GRd) and catalase (CAT) activities in CCl4-induced rats. The histological inspections of liver demonstrated that CCl4 enlarged the extents of bile duct proliferation, necrosis, fibrosis, steatosis and fatty vacuolation all round liver, but the first three can be ameliorated by WEF. Based on these evidences from this study, the WEF by regulating the related antioxidant enzymes of liver to exhibit hepatoprotective effects was confirmed and it can be use as a substitute for the silymarin. © 2020 Pakistan Journal of Pharmaceutical Sciences. All rights reserved.","Carbon tetrachloride; Hepatoprotective effect; Maydis stigma; Nelumbo nucifera Gaertn; Taraxacum officinale","alanine aminotransferase; antioxidant; aspartate aminotransferase; carbon tetrachloride; catalase; flavonoid; glutathione; liver protective agent; malonaldehyde; Maydis stigma extract; Nelumbo nucifera extract; phenol; plant extract; silymarin; Taraxacum officinale extract; triacylglycerol; unclassified drug; alanine aminotransferase blood level; animal cell; animal experiment; animal model; animal tissue; antioxidant activity; antioxidant assay; Article; aspartate aminotransferase blood level; controlled study; DPPH radical scavenging assay; enzyme activity; enzyme blood level; equivalent antioxidant capacity; ferric reducing antioxidant power assay; histology; liver injury; liver protection; maize; male; Maydis stigma; nonhuman; rat; Taraxacum officinale; traditional medicine; triacylglycerol blood level",,,,,,"English",Article,"Final","",Scopus
"57218585863;56109866000;","Moderating effect of gender on the opportunity recognition and entrepreneurial intention",2020,"Entrepreneurship and Sustainability Issues",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089679490&doi=10.9770%2fjesi.2020.8.1%2849%29&partnerID=40&md5=0f9d8e8b3435a751cff0a4d834e0ebb7","This study investigated the relationship between opportunity recognition and entrepreneurial intention at the national level. It hypothesized that the gender equality, measured based on national perceptions of women as human resources, would moderate this relationship. The data of 15 countries from the Global Entrepreneurship Monitor (GEM) and the Gender Gap Index (GGI) of the World Economic Forum (WEF) were used for the analysis. The results showed that opportunity recognition affects entrepreneurial intention. The analysis also suggested that gender had a moderating effect on this relationship, although the size of the gender moderation effect was not directly related to the level of gender inequality in the sampled countries. © Entrepreneurship and Sustainability Center. All rights reserved.","APS; Entrepreneurial intention; GEM; Gender; GGI; Opportunity recognition",,,,,,,"English",Article,"Final","All Open Access, Bronze, Gold",Scopus
"56983052600;55994394400;57220566801;","Four Cultural Narratives for Managing Social-ecological Complexity in Public Natural Resource Management",2020,"Environmental Management",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087559073&doi=10.1007%2fs00267-020-01320-6&partnerID=40&md5=36add363910d6c7bdbe4989303a2aa40","Public Natural Resource Management (NRM) agencies operate in complex social-ecological domains. These complexities proliferate unpredictably therefore investigating and supporting the ability of public agencies to respond effectively is increasingly important. However, understanding how public NRM agencies innovate and restructure to negotiate the range of particular complexities they face is an under researched field. One particular conceptualisation of the social-ecological complexities facing NRM agencies that is of growing influence is the Water–Energy–Food (WEF) nexus. Yet, as a tool to frame and understand those complexities it has limitations. Specifically, it overlooks how NRMs respond institutionally to these social-ecological complexities in the context of economic and organisational challenges—thus creating a gap in the literature. Current debates in public administration can be brought to bear here. Using an organisational cultures approach, this paper reports on a case study with a national NRM agency to investigate how they are attempting to transform institutionally to respond to complexity in challenging times. The research involved 12 elite interviews with senior leaders from Natural Resources Wales, (NRW) and investigated how cultural narratives are being explicitly and implicitly constructed and mobilised to this end. The research identified four distinct and sequential cultural narratives: collaboration, communication, trust, and empowerment where each narrative supported the delivery of different dimensions of NRW’s social-ecological complexity mandate. Counter to the current managerialist approaches in public administration, these results suggest that the empowerment of expert bureaucrats is important in responding effectively to complexity. © 2020, The Author(s).","Culture; Environment; Organisation; Public agency; Social-ecological complexity; Water–Energy–Food nexus","Ecology; Natural resources management; Resource allocation; Natural resource management; Natural resource managements (NRM); Organisational; Organisational culture; Public agencies; Public administration; complexity; conceptual framework; economic conditions; natural resource; public administration; resource management; article; case report; clinical article; empowerment; human; hydropower; interview; leadership; narrative; organizational culture; trust; Wales",,,,,,"English",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus
"57211998344;57219414076;","The fourth industrial revolution: Prospects and challenges for Africa",2020,"Towards the Digital World and Industry X.0 - Proceedings of the 29th International Conference of the International Association for Management of Technology, IAMOT 2020",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092670045&partnerID=40&md5=142048cfe5abc6a0f283c59b86f8ef30","The unprecedented convergence of cyber, physical and biological technologies - popularized in the 2016 world economic forum (WEF) as the fourth industrial revolution (4IR) - is altering long established methods of producing goods and providing services. 4IR technologies such as, internet of things (IoT) and artificial intelligence (AI) enable consumers to request customised products and services. Firms that would emerge as leaders are those that reconfigure their production processes through cyber-physical technologies from mass production to customised products and services. For firms to successfully transition they would require, among others, understanding and adoption of new business models, and a workforce skilled in 4IR technologies. Africa has the youngest population with a potential to spur an accelerated economic growth known as a demographic dividend. For Africa, who is viewed as a potential economic powerhouse, the 4IR promises a socio-economic development through better access to technologies and increased productivity. However, the promises of the 4IR for Africa are often told alongside concerns that the 4IR might render the continent's workforce obsolete and reinforce already existing inequalities. The extent to which Africa could benefit from the 4IR would largely be a function of the continent's readiness to put in place policies that equip Africans with the skills needed to play an active role in shaping and benefiting from the 4IR. Yet Africa still lags behind when it comes to transitioning to the 4IR. This research investigated prospects and challenges for Africa in the era of the 4IR. A desktop literature study approach was followed, using published studies in journals, conference proceedings, book chapters and books for the period 2011 to 2020. The findings are translated into policy suggestions to help improve the position of Africa for success, and scope for further research. © 2020 Towards the Digital World and Industry X.0 - Proceedings of the 29th International Conference of the International Association for Management of Technology, IAMOT 2020. All rights reserved.","4IR; Africa; AI; Demographic Dividend; Digitalisation; IoT","Artificial intelligence; Industrial management; Industry 4.0; Internet of things; Personnel; Population statistics; Service industry; Biological technology; Increased productivity; Industrial revolutions; Internet of Things (IOT); New business models; Policy suggestions; Products and services; Socio-economic development; Industrial economics",,"29th International Conference of the International Association for Management of Technology: Towards the Digital World and Industry X.0, IAMOT 2020","13 September 2020 through 17 September 2020",,163281,"English",Conference Paper,"Final","",Scopus
"55308239800;57218682386;41661032000;57213834383;","An economic view of entrepreneurial intention",2020,"International Journal of Entrepreneurial Behaviour and Research",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090011427&doi=10.1108%2fIJEBR-12-2019-0693&partnerID=40&md5=b3c3bc3cc0d84269e1a55cac3552ac08","Purpose: The role of macrolevel factors in entrepreneurial intention remains as an underexplored issue in the literature. The purpose of this study is to reduce this gap by testing the effect of economic development on entrepreneurial intention. Design/methodology/approach: This study adopts a quantitative approach that formally tests for a quadratic relationship between economic development measured by the gross domestic product (GDP) and the Global Competitiveness Index (GCI)) and entrepreneurial intention based on longitudinal data covering 72 countries over the 2010–2016 period. Data are gathered from the Global Entrepreneurship Monitor (GEM), the International Monetary Fund (IMF) and the World Economic Forum (WEF). Findings: The results reveal the existence of a U-shaped relationship between the country's GDP per capita and individuals' entrepreneurial intention. The results also support a similar relationship between GCI and entrepreneurial intention. These findings suggest that individuals' entrepreneurial intentions differ between countries depending on the level of economic development. Originality/value: To the authors' knowledge, this article presents the first attempt to investigate the role of economic development on entrepreneurial intention based on longitudinal data covering a large sample of countries. Moreover, by providing evidence of a U-shaped relationship between economic progress and individuals' propensity to attempt an entrepreneurial career, this study enhances the understanding of the macrolevel determinants of entrepreneurial intention. © 2020, Emerald Publishing Limited.","Economic development; Entrepreneurial intention; Entrepreneurship; U-shaped relationship",,,,,,,"English",Article,"Final","",Scopus
"55553360900;55694489100;36774286100;57218954524;57218949388;57218954426;55996549300;","Review of water energy food nexus in Africa: Morocco and South Africa as case studies",2020,"E3S Web of Conferences",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090902845&doi=10.1051%2fe3sconf%2f202018302002&partnerID=40&md5=02a4f01d30c40d20efbbaa9316a68394","The population of the African continent is significantly increasing which has given rise to societal, economic and environmental changes. This will generate an increase in demand for food, water and energy. Thus, strategies for sustainable management of natural resources need to be adopted urgently in order to match the future needs and to ensure sustainable development on the continent. The Water Energy Food (WEF) nexus is one the avenues for studying the current and future interactions and interdependencies of the WEF sectors under different scenarios and challenges in the effort towards establishing sustainable use of natural resources. Policies around the nexus approach are few or absent at the continental and countrylevels. This paper is a first review on the adoption of the Nexus in two model African countries, Morocco and South Africa. The review compares the water, energy and food sectors and the related national policies, plans and frameworks. The data related to the WEF Nexus revealed key difficulties of availability in both countries. A comparative analysis of the situation in both countries demonstrated differences in policies relating to the WEF Nexus across the sectors: Water, energy, and agriculture. Additionally, the paper explores the relevance of technology-assisted frameworks for the WEF nexus and also analyzed risks to agriculture and food security in the context of the reviewed countries. © The Authors, published by EDP Sciences, 2020.",,"Agricultural robots; Agriculture; Biodiversity; Food supply; Planning; Case-studies; Comparative analysis; Environmental change; Food security; National policies; Sustainable management; Sustainable use; Water and energies; Sustainable development",,"2020 International Conference on Climate Nexus Perspectives: Water, Food and Biodiversity, I2CNP 2020","4 June 2020 through 4 June 2020",,162397,"English",Conference Paper,"Final","All Open Access, Gold",Scopus
"57214779555;55697388200;55152323100;","A systematic analysis of Water-Energy-Food security nexus: A South Asian case study",2020,"Science of the Total Environment",3,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084353342&doi=10.1016%2fj.scitotenv.2020.138451&partnerID=40&md5=4ce9a771c181139456dd7322b1e7201e","Most South Asian countries have challenges in ensuring water, energy, and food (WEF) security, which are often interacting positively or negatively. To address these challenges, the nexus approach provides a framework to identify the interactions of the WEF sectors as an integrated system. However, most nexus studies only qualitatively discuss the interactions between these sectors. This study conducts a systematic analysis of the WEF security nexus in South Asia by using open data sources at the country scale. We analyze interactions between the WEF sectors statistically, defining positive and negative correlations between the WEF security indicators as synergies and trade-offs, respectively. By creating networks of the synergies and trade-offs, we further identify most positively and negatively influencing indicators in the WEF security nexus. We observe a larger share of trade-offs than synergies within the water and energy sectors and a larger share of synergies than trade-offs among the WEF sectors for South Asia. However, these observations vary across the South Asian countries. Our analysis highlights that strategies on promoting sustainable energy and discouraging fossil fuel use could have overall positive effects on the WEF security nexus in the countries. This study provides evidence for considering the WEF security nexus as an integrated system rather than just a combination of three different sectors or securities. © 2018 Elsevier B.V.","Energy security; Food security; Network analysis; sustainable development; Water security; Water-energy-food nexus","Commerce; Food supply; Fossil fuels; Integrated control; Open Data; Asian countries; Data-sources; Food security; Integrated systems; Negative correlation; Sustainable energy; Systematic analysis; Water and energies; Economic and social effects; water; alternative energy; energy resource; food security; qualitative analysis; synergism; trade-off; water resource; Article; data base; energy resource; environmental aspects and related phenomena; food security; priority journal; qualitative analysis; quantitative analysis; South Asian; statistical analysis; sustainable development; water energy food security nexus; water supply; South Asia",,,,,,"English",Article,"Final","",Scopus
"24072950400;56353681600;","Sustainability considerations in water-energy-food nexus research in irrigated agriculture",2020,"Sustainability (Switzerland)",1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089906693&doi=10.3390%2fSU12156274&partnerID=40&md5=74e75f0868b243c1a598d5110fbc2f82","Irrigated agriculture is essential to satisfying the globally increasing demand for food and bio-based products. Yet, in water scarce regions, water-use for irrigation aggravates the competition for the use of water for other purposes, such as energy production, drinking water and sanitation. Solutions for sustainable food production through irrigated agriculture require a systemic approach to assess benefits and trade-offs across sectors. Here, the water-energy-food (WEF) nexus has become an important concept in natural resource management. It has been conceptualized to analyze linkages and trade-offs between the three sectors, across temporal and spatial scales. However, the concept has so far mainly been conceptual, with little empirical evidence or proof of concept in real world cases. The objective of this paper was to take stock of the rapidly advancing literature on the WEF nexus in irrigated agriculture, and to analyze how the concept was actually implemented in research studies, and how the nexus between water, food and energy was actually dealt with. The study period ranges from 2011 to 2019, and includes 194 articles. Results showed that the WEF nexus is indeed very relevant in irrigated agriculture, and the respective literature makes up one third of all WEF nexus papers. Modeling and empirical research have caught up with conceptual synthesis studies during the last four years, thereby indicating that the WEF nexus concept is indeed increasingly operationalized. However, most studies addressed the WEF nexus from a perspective of either socioeconomic, technological or environmental categories, and they place one of the dimensions of water, food or energy into the foreground. To address sustainable development, there is a need to fully integrate across research disciplines and thematic dimensions. Such studies are only starting to emerge. These findings are an important evidence-base for future WEF nexus research on irrigated agriculture, in support of sustainable solutions for water scarce regions, especially in settings undergoing transformations. © 2020 by the authors.","Energy production; Food security; Governance; Soil services; Sustainability; Sustainable development goals; Transformation; Water resources","agricultural development; drinking water; food production; irrigation system; natural resource; sanitation; sustainability; trade-off; water stress",,,,,,"English",Review,"Final","All Open Access, Gold, Green",Scopus
"57203317478;8422637100;57202605737;55689014400;7004240703;","Water–Energy–Food nexus evaluation with a social network group decision making approach based on hesitant fuzzy preference relations",2020,"Applied Soft Computing Journal",2,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084845304&doi=10.1016%2fj.asoc.2020.106363&partnerID=40&md5=505c81af6ae43765fafbbd7ed3644dae","With the rapid increase and development of global population and economic, the Water–Energy–Food (WEF) nexus evaluation which is related to the sustainable development of human has become a hotspot. Whereas, the study of the WEF nexus evaluation from the perspectives of social network group decision making (SNGDM) is still a challenge. Hence, this paper aims to develop a trust-based SNGDM approach with hesitant fuzzy preference relations to the WEF nexus evaluation. In the proposed model, a new fuzzy adjacency matrix and trust score matrix based on expert's self-confidence are defined to imply experts’ trust relationship and trust score, respectively. To improve the reliability of the final decision(s), an iterative algorithm is presented to improve the consistency of experts’ evaluations. Subsequently, the individual evaluation can be aggregated into a group one by using the trust score induced ordered weighted averaging operator while the trust scores of experts are the induced factors. Additionally, an algorithm is utilized to achieve a high level consensus in SNGDM of the WEF nexus evaluation. Finally, some comparison analyses and discussions show the feasibility and validity of the proposed method. © 2020 Elsevier B.V.","Hesitant fuzzy preference relations; Self-confidence; Social network group decision making; Trust relationship; Water–Energy–Food","Iterative methods; Adjacency matrices; Comparison analysis; Fuzzy preference relations; Global population; Group Decision Making; Induced ordered weighted averaging operators; Iterative algorithm; Trust relationship; Decision making",,,,,,"English",Article,"Final","",Scopus
"57213174382;57213174377;56178216800;56125727600;","Local community perceptions toward livelihood and water–energy–food nexus: A perspective on food security",2020,"Food and Energy Security",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085612004&doi=10.1002%2ffes3.207&partnerID=40&md5=ec75b4af06714ea6573f5cb16260de76","While water–energy–food (WEF) nexus is a major livelihood sources for local community, its security issues grow continually and there is limited information on how nexus resource management is effective at delivering livelihoods and food security. These difficulties are related to the lack of local community knowledge of the use and exploitation of water, energy, and food resources; this limited awareness leads to trade-offs, especially in local and marginalized areas. On the basis of data collected from a local community through a survey-based approach, this study examines local community perception of nexus resources and their contribution to livelihoods. The results indicate that community perceptions of nexus resources can be understood through social, natural, economic, human, physical, and environmental livelihood indicators. According to our findings, the perception of nexus resources is based on the benefits of individual resources rather than their interlinkages. This could be the result of community perceptions of a particular nexus resource from three nexus sector, that is, food. Food is the center of nexus resources for the community in the study area. This indicates, that there is a missing link between cross-sectorial resource utilization and management, and full-scale adoption of the WEF nexus to enhance living conditions. Our findings suggest that there is a low understanding of WEF nexus resource use and management, and the livelihood benefit of individual nexus resources is the primary focus in the studied community. From these results, we recommend more action to be taken by the government and other stakeholders to improve the local community perception of nexus resources for their livelihoods. © 2020 The Authors. Food and Energy Security published by John Wiley & Sons Ltd. and the Association of Applied Biologists.","food security; livelihoods; local community; nexus; water–energy–food",,,,,,,"English",Article,"Final","All Open Access, Gold",Scopus
